Date,Open,High,Low,Close,Volume,ticker
2013/6/4,135.21,135.4399,134.27,135.23,5501999,GLD
2013/6/5,135.47,136.37,135.01,135.52,7441332,GLD
2013/6/6,135.39,137.62,134.98,136.53,9846611,GLD
2013/6/7,134.11,134.62,133.18,133.28,11049360,GLD
2013/6/10,133.3,134.28,132.99,133.94,6141516,GLD
2013/6/11,132.31,133.51,132.245,133.25,7196053,GLD
2013/6/12,132.95,134.83,132.83,134.25,6549895,GLD
2013/6/13,133.31,134.2,132.82,133.74,7161733,GLD
2013/6/14,134,134.6,133.88,134.43,4278655,GLD
2013/6/17,133.89,134.0599,133.5201,133.77,4052105,GLD
2013/6/18,132.72,132.9601,131.5303,132.13,7378310,GLD
2013/6/19,132.58,133.15,130.38,130.59,12963520,GLD
2013/6/20,125.218,126.38,123.33,123.6,28850920,GLD
2013/6/21,125.16,125.57,124.46,125.05,16599040,GLD
2013/6/24,124.31,124.7,123.31,123.93,12748410,GLD
2013/6/25,123.65,123.9,122.88,123.47,9368177,GLD
2013/6/26,119.88,119.9,118.06,118.28,24682080,GLD
2013/6/27,119.1,119.51,115.65,115.94,29974660,GLD
2013/6/28,115.22,119.33,114.68,119.11,32977420,GLD
2013/7/1,119.94,121.95,119.38,121.13,15931050,GLD
2013/7/2,121.34,121.47,119.78,120.05,10548660,GLD
2013/7/3,120.7,121.77,120.54,120.74,6750238,GLD
2013/7/5,118.08,118.18,116.74,118.09,11592020,GLD
2013/7/8,119.09,119.66,118.93,119.51,8651746,GLD
2013/7/9,120.84,121.51,120.05,120.62,8200558,GLD
2013/7/10,121.15,122.35,120.59,120.95,14648020,GLD
2013/7/11,124.26,124.365,123.47,124.24,11278530,GLD
2013/7/12,123.52,124.3,123.32,124.13,6580163,GLD
2013/7/15,124.08,124.39,123.84,124.18,4131606,GLD
2013/7/16,124.76,125.21,124.33,124.89,5575659,GLD
2013/7/17,125.04,125.7,122.73,123.32,10872590,GLD
2013/7/18,124.11,124.52,123.78,124.01,6150827,GLD
2013/7/19,124.89,125.42,124.65,125.11,5767463,GLD
2013/7/22,127.65,129.46,127.59,128.84,10841150,GLD
2013/7/23,128.7,130.1399,128.35,129.71,8818813,GLD
2013/7/24,129.17,129.3999,126.873,127.48,9961785,GLD
2013/7/25,127.7,128.87,127.64,128.67,4702336,GLD
2013/7/26,128.11,128.97,126.78,128.78,6148376,GLD
2013/7/29,128.45,128.78,128.25,128.47,3554077,GLD
2013/7/30,127.95,128.31,127.22,128.12,4487696,GLD
2013/7/31,127.76,128.92,126.13,127.96,16015250,GLD
2013/8/1,127.84,127.89,126.33,126.61,10550470,GLD
2013/8/2,126.74,127.25,126.32,126.36,6452410,GLD
2013/8/5,126.51,126.64,125.34,125.7,4005180,GLD
2013/8/6,124.33,124.55,123.55,123.97,6016104,GLD
2013/8/7,124,124.6,123.85,124.15,5304729,GLD
2013/8/8,124.78,126.99,124.77,126.86,8653622,GLD
2013/8/9,126.51,127.27,126.3,126.86,6191969,GLD
2013/8/12,129.57,129.71,128.88,129.13,7414315,GLD
2013/8/13,128.49,128.6499,127.38,127.74,7336118,GLD
2013/8/14,127.66,129.07,127.57,129,8700357,GLD
2013/8/15,128.06,132.36,127.98,131.69,17214800,GLD
2013/8/16,132.56,133.27,131.39,132.58,14425470,GLD
2013/8/19,132.33,132.5,131.59,132.01,8118408,GLD
2013/8/20,132.035,133.13,132.02,132.45,7804105,GLD
2013/8/21,131.74,133.23,131.51,132.07,10720160,GLD
2013/8/22,132.56,133.46,132.27,132.81,5741803,GLD
2013/8/23,132.58,135.24,132.5,134.9,11621950,GLD
2013/8/26,134.88,135.6,134.15,135.45,7685796,GLD
2013/8/27,136.94,137.55,136.52,136.75,11247830,GLD
